15.616   8.641  12.129  O  
21.233  11.258   4.756 Si  
15.616   9.552   6.064  O  
18.115   8.717   5.986  O  
20.030  12.996   7.901  O  
19.907   4.338   7.778  O  
 0.871  15.168  10.821 Si  
 2.577   9.552  12.129  O  
 3.412  12.050  12.050  O  
23.390  13.965  13.965  O  
 7.790  13.842  13.842  O  
21.233  19.064   1.308 Si  
15.616  20.770   0.000  O  
18.115  21.605   0.078  O  
20.030  17.326  22.421  O  
19.907   1.726  22.544  O  
17.323   3.039  19.501 Si  
15.616  21.681  18.193  O  
12.999  15.154   7.372 Si  
14.706  20.770   6.064  O  
15.541  18.272   6.143  O  
11.261  16.357   4.228  O  
19.919  16.480   4.351  O  
22.950  15.168  12.999 Si  
 0.000   9.552  14.706  O  
24.179  12.050  15.541  O  
 1.836  13.965  11.261  O  
 1.713  13.842  19.919  O  
21.218  16.885  19.064 Si  
 2.577  18.193  20.770  O  
19.501  15.154   0.871 Si  
18.193  20.770   2.577  O  
18.272  18.272   3.412  O  
16.357  16.357  23.390  O  
16.480  16.480   7.790  O  
21.233  13.437   6.935 Si  
15.616  12.129   8.641  O  
18.115  12.207   9.476  O  
20.030  10.292   5.197  O  
19.907  10.415  13.855  O  
22.950  15.154  17.323 Si  
 0.000  20.770  15.616  O  
21.233  16.885  23.387 Si  
15.616  18.193  21.681  O  
18.115  18.115  20.846  O  
20.030  20.030   0.868  O  
19.907  19.907  16.467  O  
19.501  15.168   5.194 Si  
18.193   9.552   3.488  O  
18.272  12.050   2.652  O  
16.357  13.965   6.932  O  
16.480  13.842  22.532  O  
21.218  13.437  11.258 Si  
 2.577  12.129   9.552  O  
 0.078  12.207   8.717  O  
22.421  10.292  12.996  O  
22.544  10.415   4.338  O  
 0.871  10.821  15.168 Si  
 1.308  19.064  21.233 Si  
 0.078  21.605  18.115  O  
22.421  17.326  20.030  O  
22.544   1.726  19.907  O  
17.323  19.501   3.039 Si  
14.781  18.272  24.179  O  
19.061  16.357   1.836  O  
10.403  16.480   1.713  O  
16.885  11.258   9.104 Si  
 0.871  19.501  15.154 Si  
 3.412  18.272  18.272  O  
23.390  16.357  16.357  O  
 7.790  16.480  16.480  O  
16.885  19.064  21.218 Si  
17.323  10.821   3.025 Si  
14.781  12.050   6.143  O  
